all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
A_07_P000102,0.99999994,4124.366,0.86644906,2991.892,1,3610.828,0.9711544,2786.452,1,3069.693,0.87549984,2488.855,regulator of ebg operon [b3075],ebgR,DNA-binding transcriptional repressor,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0016052(carbohydrate catabolic process)|GO:0016564(transcription repressor activity),chr:3219954-3220013,947586,b3075
A_07_P000106,1,2930.208,0.9495435,2329.48,1,3164.707,0.91789454,2308.25,1,2965.907,0.69889,1919.618,"evolved beta-D-galactosidase, alpha subunit; cryptic gene [b3076]",ebgA,"cryptic beta-D-galactosidase, alpha subunit",GO:0016052(carbohydrate catabolic process),chr:3223687-3223746,947583,b3076
A_07_P000114,1,2230.145,0.9208937,1719.445,0.99999994,2310.388,0.8855337,1625.723,0.99999994,1740.73,0.8988134,1448.937,"evolved beta-D-galactosidase, beta subunit; cryptic gene [b3077]",ebgC,"cryptic beta-D-galactosidase, beta subunit",GO:0016052(carbohydrate catabolic process),chr:3224125-3224184,947581,b3077
A_07_P000117,1,4548.857,1.0125647,3856.299,1,4855.01,0.89471155,3451.673,1,4402.464,0.7363459,3002.107,putative oxidoreductase [b3078],ygjI,predicted transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3225594-3225653,947579,b3078
A_07_P000124,0.99999994,3751.927,0.8757356,2750.889,1,3576.169,0.8840885,2512.293,1,2648.751,1.0417352,2555.33,"orf, hypothetical protein [b3079]",ygjJ,conserved protein,,chr:3226830-3226889,947597,b3079
A_07_P000129,1,4387.761,0.87796086,3225.253,1,4224.604,0.87883824,2950.2,1,3930.983,0.96131426,3499.573,putative isomerase [b3080],ygjK,predicted glycosyl hydrolase,,chr:3228760-3228819,947596,b3080
A_07_P000131,1,3186.095,0.89277303,2381.472,1,3068.506,0.88538486,2158.816,1,2769.217,0.8775038,2250.373,putative NADPH dehydrogenase [b3081],fadH,"2,4-dienoyl-CoA reductase, NADH and FMN-linked",GO:0019395(fatty acid oxidation),chr:3231171-3231230,947594,b3081
A_07_P000138,1,1494.237,0.8963387,1121.34,1,1467.257,0.9352085,1090.363,0.99999994,1311.651,0.8880385,1078.695,"orf, hypothetical protein [b3082]",ygjM,predicted DNA-binding transcriptional regulator,"GO:0006355(regulation of transcription, DNA-dependent)",chr:3231901-3231842,947593,b3082
A_07_P000142,1,5653.658,0.85259885,4035.71,1,5125.929,0.92257494,3757.775,1,4774.489,0.76296103,3373.477,"orf, hypothetical protein [b3083]",ygjN,conserved protein,,chr:3232304-3232245,947591,b3083
A_07_P000149,1,5085.649,0.8643131,3680.13,1,5252.137,0.8518007,3554.926,1,4578.448,0.89534146,3796.256,putative enzyme [b3084],rlmG,predicted methyltransferase small domain,,chr:3232843-3232784,947589,b3084
A_07_P000154,0.99999994,3762.664,0.8306697,2616.794,1,3324.971,0.95359343,2519.461,1,2920.31,0.8812314,2383.238,"orf, hypothetical protein [b3085]",ygjP,predicted metal dependent hydrolase,,chr:3234354-3234413,947650,b3085
A_07_P000160,0.99999994,5440.852,0.912144,4155.048,1,4850.612,0.965805,3722.567,1,4359.447,0.8605689,3474.286,"orf, hypothetical protein [b3086]",ygjQ,predicted thioredoxin-like protein,GO:0009274(peptidoglycan-based cell wall),chr:3234851-3234910,947598,b3086
A_07_P000165,0.99999994,3577.373,0.9391723,2812.906,0.99999994,3485.376,0.9565415,2649.171,1,3087.213,0.88581896,2532.562,"orf, hypothetical protein [b3087]",ygjR,predicted NAD(P)-binding dehydrogenase,,chr:3235816-3235875,947600,b3087
A_07_P000170,0.99999994,2791.024,0.89748687,2097.188,1,2715.901,0.9139846,1972.465,1,2575.678,0.8003799,1909.133,putative transport protein [b3088],alx,"predicted inner membrane protein, part of terminus",GO:0006950(response to stress),chr:3237493-3237552,947607,b3088
A_07_P000173,1,2243.255,0.7829211,1470.423,1,1882.892,0.895981,1340.543,1,1591.189,0.8160388,1202.489,putative transport protein [b3089],sstT,sodium:serine/threonine symporter,GO:0006564(L-serine biosynthetic process)|GO:0009088(threonine biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3238472-3238531,947605,b3089
A_07_P000176,1,2616.651,0.7980032,1748.22,0.99999994,2304.892,0.9312302,1705.549,1,1873.695,0.93208957,1617.354,"orf, hypothetical protein [b3090]",ygjV,conserved inner membrane protein,,chr:3239308-3239249,947604,b3090
A_07_P000185,1,4377.592,0.88437355,3241.281,1,4061.488,0.94576967,3052.299,1,3548.298,0.92649347,3044.465,altronate hydrolase [b3091],uxaA,altronate hydrolase,GO:0016052(carbohydrate catabolic process),chr:3240372-3240313,947603,b3091
A_07_P000188,1,4240.906,0.96968085,3442.969,1,4307.022,0.9176199,3140.483,1,4097.278,0.83704406,3176.086,uronate isomerase [b3092],uxaC,uronate isomerase,GO:0016052(carbohydrate catabolic process),chr:3241412-3241353,947599,b3092
A_07_P000192,1,1615.216,0.8086896,1093.599,1,1363.126,1.0053688,1088.975,1,1148.898,1.0148863,1079.81,transport of hexuronates [b3093],exuT,hexuronate transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0016052(carbohydrate catabolic process)|GO:0019866(organelle inner membrane),chr:3243999-3244058,947601,b3093
A_07_P000199,1,5451.938,0.9081043,4145.074,1,4869.848,1.0129174,3919.638,0.99999994,4070.281,0.88328505,3329.46,"negative regulator of exu regulon, exuT, uxaAC, and uxuB [b3094]",exuR,DNA-binding transcriptional repressor,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0016052(carbohydrate catabolic process)|GO:0016564(transcription repressor activity),chr:3245328-3245387,947602,b3094
A_07_P000202,1,3513.355,0.9030134,2656.207,1,3310.259,0.94915557,2496.64,1,3518.065,0.7585103,2471.234,"orf, hypothetical protein [b3095]",yqjA,conserved inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:3246287-3246346,947643,b3095
A_07_P000206,1,3038.428,0.9066059,2306.286,1,3206.735,0.9263428,2360.431,1,3317.481,0.941068,2891.199,"orf, hypothetical protein [b3096]",yqjB,conserved protein,,chr:3246657-3246716,947619,b3096
A_07_P000212,1,2610.073,1.0600746,2316.513,1,3171.047,0.9310243,2345.958,1,2758.633,0.8851171,2261.222,"orf, hypothetical protein [b3097]",yqjC,conserved protein,,chr:3247090-3247149,947622,b3097
A_07_P000219,0.99999994,2718.108,0.8895558,2024.35,1,2727.672,0.8793605,1905.968,1,2271.575,0.89768875,1888.432,"orf, hypothetical protein [b3098]",yqjD,conserved protein,,chr:3247464-3247523,947614,b3098
A_07_P000224,1,4984.883,0.97696507,4077.366,1,4799.971,0.96149665,3667.27,1,4060.728,0.89778614,3376.178,"orf, hypothetical protein [b3099]",yqjE,conserved inner membrane protein,,chr:3247845-3247904,947611,b3099
A_07_P000229,1,3407.868,0.9337065,2664.028,1,3344.171,0.87882334,2335.321,0.99999994,2521.884,0.9569411,2234.904,"orf, hypothetical protein [b3100]",yqjK,conserved protein,,chr:3248184-3248243,947610,b3100
A_07_P000235,1,2746.581,0.9299822,2138.517,1,2707.447,0.939773,2021.806,1,2098.332,0.91561216,1779.239,"orf, hypothetical protein [b3101]",yqjF,predicted quinol oxidase subunit,GO:0009274(peptidoglycan-based cell wall),chr:3248834-3248893,947608,b3101
A_07_P000240,1,3930.006,0.87493104,2878.808,1,3908.773,0.94744575,2942.736,1,3415.085,0.9235083,2920.726,putative transferase [b3102],yqjG,predicted S-transferase,,chr:3249919-3249978,947615,b3102
A_07_P000243,1,3549.078,0.95186293,2828.366,1,3609.912,0.9384953,2692.063,1,3249.932,0.8634594,2598.751,putative cytochrome [b3103],yhaH,predicted inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:3250573-3250632,947617,b3103
A_07_P000250,1,4352.345,0.8732748,3182.145,1,4160.972,0.92952484,3073.352,1,3967.672,0.83543324,3069.701,putative cytochrome [b3104],yhaI,predicted inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:3250960-3251019,947612,b3104
A_07_P000254,1,2187.612,1.010936,1851.568,1,2440.862,0.85327303,1654.961,1,2255.235,0.8227444,1718.325,putative transcriptional regulator LYSR-type [b3105],yhaJ,predicted DNA-binding transcriptional regulator,GO:0006350(transcription)|GO:0016563(transcription activator activity)|GO:0016564(transcription repressor activity),chr:3251779-3251720,947621,b3105
A_07_P000257,1,3024.036,0.9875344,2500.258,1,3256.056,0.9594253,2482.33,1,3222.098,0.8156051,2433.701,"orf, hypothetical protein [b3106]",yhaK,predicted pirin-related protein,,chr:3252532-3252591,947620,b3106
A_07_P000264,0.99999994,1330.969,1.0359529,1154.393,1,1518.587,0.883738,1066.399,1,1314.495,0.9026503,1098.821,"orf, hypothetical protein [b3107]",yhaL,predicted protein,,chr:3253139-3253198,947618,b3107
A_07_P000269,1,5962.416,0.9003377,4494.417,1,5403.928,0.9797235,4206.972,1,4662.509,0.9069512,3916.085,"orf, hypothetical protein [b3108]",yhaM,conserved protein,,chr:3253440-3253381,2847723,b3108
A_07_P000272,1,2473.604,0.9262037,1918.149,0.99999994,2557.321,0.90048563,1829.863,0.99999994,2287.458,0.8685001,1839.804,"orf, hypothetical protein [b3109]",,,,chr:3254666-3254607,,b3109
A_07_P000276,1,4923.06,0.98985505,4079.927,1,4816.333,0.9814599,3756.173,1,4456.438,0.9062114,3739.951,putative transport system permease protein [b3110],yhaO,predicted transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3254795-3254736,947628,b3110
A_07_P000282,1,3055.138,0.9105325,2329.013,1,3143.075,0.89548284,2236.498,1,2659.235,0.860425,2118.938,putative L-serine dehydratase [b3111],,,,chr:3256421-3256362,,b3111
A_07_P000290,1,4456.015,0.8935526,3333.592,1,4218.682,0.95485324,3200.884,1,3575.412,0.92325455,3057.005,putative L-serine dehydratase [b3112],,,,chr:3257356-3257297,,b3112
A_07_P000294,1,2950.811,0.8620276,2129.65,1,2856.908,0.8662776,1966.572,1,2176.68,1.0236827,2063.519,"orf, hypothetical protein [b3113]",tdcF,predicted L-PSP (mRNA) endoribonuclease,,chr:3257898-3257839,947624,b3113
A_07_P000296,1,4058.252,0.89393437,3037.318,1,3843.916,0.90235406,2756.179,1,3252.897,0.891997,2687.09,probable formate acetyltransferase 3 [b3114],tdcE,pyruvate formate-lyase 4/2-ketobutyrate formate-lyase,GO:0005737(cytoplasm)|GO:0006113(fermentation)|GO:0009061(anaerobic respiration)|GO:0009063(amino acid catabolic process),chr:3259242-3259183,947623,b3114
A_07_P000305,1,2019.062,0.88356245,1493.594,1,1845.417,0.96268797,1411.681,1,1596.645,0.8050507,1190.365,putative kinase [b3115],tdcD,"propionate kinase/acetate kinase C, anaerobic",GO:0009063(amino acid catabolic process),chr:3260629-3260570,947635,b3115
A_07_P000306,1,4331.544,0.8943656,3243.422,1,3875.646,0.9365407,2884.213,0.99999994,3666.655,0.8357691,2837.951,"anaerobically inducible L-threonine, L-serine permease [b3116]",tdcC,L-threonine/L-serine transporter,GO:0009088(threonine biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3261772-3261713,947629,b3116
A_07_P000312,1,2921.684,0.85101527,2081.691,0.99999994,2631.116,0.8931914,1867.416,1,2219.354,0.7735749,1589.928,"threonine dehydratase, catabolic [b3117]",tdcB,"catabolic threonine dehydratase, PLP-dependent",GO:0009063(amino acid catabolic process),chr:3263321-3263262,947633,b3117
A_07_P000316,1,4327.542,0.8554861,3099.559,1,4207.073,0.91467744,3057.768,1,3877.322,0.7972405,2862.66,transcriptional activator of tdc operon [b3118],tdcA,DNA-binding transcriptional activator,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0009063(amino acid catabolic process)|GO:0016563(transcription activator activity),chr:3264286-3264227,947494,b3118
A_07_P000323,0.99999994,3834.532,0.9533061,3060.486,1,3788.571,1.0225047,3078.203,1,3433.606,0.82491577,2623.062,threonine dehydratase operon activator protein [b3119],tdcR,DNA-binding transcriptional activator,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0009063(amino acid catabolic process)|GO:0016563(transcription activator activity),chr:3265337-3265396,944907,b3119
A_07_P010556,1,2552.588,0.9278574,1982.931,1,2703.436,0.91075104,1956.466,1,2080.187,0.89445204,1723.09,threonine dehydratase operon activator protein [b3119],tdcR,DNA-binding transcriptional activator,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0009063(amino acid catabolic process)|GO:0016563(transcription activator activity),chr:3265561-3265620,944907,b3119
A_07_P000330,1,3646.541,0.9206718,2810.811,1,4007.094,0.8256883,2629.07,1,3270.587,0.820326,2484.624,"orf, hypothetical protein [b3120]",yhaB,predicted protein,,chr:3266294-3266353,947705,b3120
A_07_P000331,1,4661.835,0.8238561,3215.54,1,4127.723,0.879813,2885.742,1,3561.443,0.72502136,2391.252,"orf, hypothetical protein [b3121]",yhaC,predicted protein,,chr:3267495-3267554,947557,b3121
A_07_P000340,1,8058.651,0.96257395,6494.446,0.99999994,8840.788,0.93073606,6538.439,1,7120.572,0.97570395,6434.006,"orf, hypothetical protein [b3122]",,,,chr:3267769-3267828,,b3122
A_07_P000343,1,4034.984,0.99246126,3352.749,1,3912.174,0.9373165,2913.808,1,3411.839,0.8517208,2691.128,"orf, hypothetical protein [b3124]",garK,glycerate kinase I,GO:0016052(carbohydrate catabolic process),chr:3268995-3268936,947632,b3124
A_07_P000346,1,3227.452,0.89745474,2425.035,1,3010.174,0.92456704,2211.498,1,2862.383,0.79977834,2120.049,putative dehydrogenase [b3125],garR,tartronate semialdehyde reductase,GO:0009441(glycolate metabolic process)|GO:0016052(carbohydrate catabolic process),chr:3270545-3270486,947631,b3125
A_07_P000355,1,3203.594,1.0068834,2700.613,1,3274.242,0.91518426,2381.09,1,3229.205,0.7808671,2335.185,"orf, hypothetical protein [b3126]",garL,alpha-dehydro-beta-deoxy-D-glucarate aldolase,GO:0016052(carbohydrate catabolic process),chr:3271153-3271094,947630,b3126
A_07_P000357,1,6143.359,0.9119361,4690.466,1,5378.794,0.9928369,4243.452,1,4800.453,0.84406394,3752.374,putative transport protein [b3127],garP,predicted (D)-galactarate transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0016052(carbohydrate catabolic process)|GO:0019866(organelle inner membrane),chr:3272161-3272102,947642,b3127
A_07_P000361,1,3166.99,0.87359685,2316.346,1,2996.611,0.9354922,2227.548,1,3028.262,0.7431402,2084.072,putative hydrolase [b3128],garD,(D)-galactarate dehydrogenase,GO:0016052(carbohydrate catabolic process),chr:3274696-3274755,947641,b3128
A_07_P000370,1,1845.683,0.9146493,1413.375,1,1993.527,0.8901823,1410.125,1,1905.137,0.80811846,1425.771,putative protease; htrA suppressor protein [b3129],sohA,predicted regulator,,chr:3275285-3275344,947639,b3129
A_07_P000373,1,3346.908,0.81755304,2290.896,1,3141.577,0.96493924,2408.819,0.99999994,2629.632,0.8832732,2150.991,"orf, hypothetical protein [b3130]",yhaV,conserved protein,,chr:3275600-3275659,947638,b3130
A_07_P000379,1,835.9767,0.9425518,659.6979,1,828.4204,0.93319124,614.2963,1,711.6212,1.0730594,707.1657,putative DEOR-type transcriptional regulator of aga operon [b3131],agaR,DNA-binding transcriptional dual regulator,GO:0006350(transcription)|GO:0016564(transcription repressor activity)|GO:0046349(amino sugar biosynthetic process),chr:3275985-3275926,947636,b3131
A_07_P000381,0.99999994,4229.438,0.9017027,3192.947,1,4152.226,0.9228269,3044.793,1,3298.217,0.97861254,2989.087,putative tagatose 6-phosphate kinase 2 [b3132],kbaZ,"tagatose 6-phosphate aldolase 1, kbaZ subunit",GO:0016052(carbohydrate catabolic process),chr:3277268-3277327,947637,b3132
A_07_P000390,1,4548.301,0.8377616,3190.181,1,4387.196,0.8939671,3116.485,1,3659.112,0.91659796,3106.012,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 2 [b3133]",agaV,N-acetylgalactosamine-specific enzyme IIB component of PTS,GO:0005737(cytoplasm)|GO:0046349(amino sugar biosynthetic process),chr:3278542-3278601,947648,b3133
A_07_P000391,1,3416.216,0.83497405,2388.163,1,3318.375,0.83226633,2194.544,1,2830.937,0.83687407,2194.011,PTS system N-acetylgalactosameine-specific IIC component 2 [b3134],agaW,pseudo,GO:0046349(amino sugar biosynthetic process),chr:3278937-3278996,947647,b3134
A_07_P000396,1,5366.213,0.840947,3778.176,1,5188.113,0.8715431,3592.98,1,4593.04,0.92672527,3941.847,putative N-acetylgalactosamine-6-phosphate deacetylase [b3135],agaA,pseudo,,chr:3279588-3279647,947646,b3135
A_07_P000404,0.99999994,4282.402,0.93883026,3366.047,1,4422.551,0.90754026,3189.299,1,4142.472,0.89736646,3442.532,putative tagatose-6-phosphate aldose/ketose isomerase [b3136],agaS,tagatose-6-phosphate ketose/aldose isomerase,,chr:3280836-3280895,947645,b3136
A_07_P000407,1,6165.981,0.8455809,4365.189,1,6187.929,0.89223313,4387.127,1,5599.87,0.7716223,4001.578,tagatose-bisphosphate aldolase 2 [b3137],kbaY,"tagatose 6-phosphate aldolase 1, kbaY subunit",GO:0016052(carbohydrate catabolic process),chr:3281943-3282002,947644,b3137
A_07_P000415,1,2345.089,0.76040685,1492.97,1,2319.357,0.9031784,1664.553,0.99999994,2215.965,0.8054587,1652.931,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 1 [b3138]",agaB,N-acetylgalactosamine-specific enzyme IIB component of PTS,GO:0005737(cytoplasm),chr:3282592-3282651,947653,b3138
A_07_P000420,1,2317.722,0.8779418,1703.62,1,2459.471,0.8519517,1664.996,0.99999994,2216.864,0.9412718,1932.425,PTS system N-acetylgalactosamine-specific IIC component 1 [b3139],agaC,N-acetylgalactosamine-specific enzyme IIC component of PTS,,chr:3283048-3283107,947652,b3139
A_07_P000422,1,4291.649,0.81734353,2936.801,1,4061.871,0.89331275,2883.276,1,3523.999,0.90758616,2961.912,"PTS system, N-acetylglucosamine enzyme IID component 1 [b3140]",agaD,N-acetylgalactosamine-specific enzyme IID component of PTS,GO:0046349(amino sugar biosynthetic process),chr:3284140-3284199,947649,b3140
A_07_P000426,1,2365.767,0.88149863,1745.98,1,2321.808,0.98597926,1819.075,0.99999994,2020.844,0.97146916,1818.069,putative galactosamine-6-phosphate isomerase [b3141],agaI,galactosamine-6-phosphate isomerase,,chr:3284468-3284527,947985,b3141
A_07_P000434,1,5453.863,0.89918303,4105.802,1,5089.461,0.97762924,3953.689,0.99999994,4484.571,0.9173572,3809.85,putative fimbrial-like protein [b3142],yraH,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:3285910-3285969,947658,b3142
A_07_P000439,1,2898.541,0.9589824,2327.211,1,3242.794,0.9338233,2406.249,1,2898.328,0.8567118,2299.486,putative chaperone [b3143],yraI,predicted periplasmic pilin chaperone,GO:0006457(protein folding),chr:3286659-3286718,947657,b3143
A_07_P000441,1,5946.004,0.84663695,4214.714,1,5717.946,0.93256104,4237.15,1,5354.388,0.9749753,4834.505,putative outer membrane protein [b3144],yraJ,predicted outer membrane protein,GO:0009274(peptidoglycan-based cell wall)|GO:0009279(cell outer membrane),chr:3289277-3289336,947656,b3144
A_07_P000449,1,3589.674,0.8432632,2534.334,1,3697.73,0.8945781,2628.512,1,3292.634,0.88731384,2705.635,putative fimbrial protein [b3145],yraK,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:3290273-3290332,947654,b3145
A_07_P000455,1,2548.257,0.81591517,1740.74,1,2468.975,0.90759367,1780.593,1,2234.759,0.93372536,1932.406,"orf, hypothetical protein [b3146]",yraL,predicted methyltransferase,,chr:3290855-3290796,947664,b3146
A_07_P000458,1,3310.212,0.77203864,2139.639,1,3168.056,0.87377506,2199.627,1,2513.969,0.90482056,2106.546,putative glycosylase [b3147],yraM,conserved protein,,chr:3293314-3293373,947663,b3147
A_07_P000461,1,2265.62,0.6886685,1306.3,1,1967.297,0.8267833,1292.463,0.99999994,1655.055,0.8659563,1327.263,"orf, hypothetical protein [b3148]",yraN,conserved protein,,chr:3293752-3293811,947662,b3148
A_07_P000466,0.99999994,1914.166,0.79860455,1279.844,1,1887.635,0.7942446,1191.321,1,1777.131,0.89642715,1475.309,"orf, hypothetical protein [b3149]",diaA,DnaA initiator-associating factor for replication initiation,,chr:3294076-3294135,947661,b3149
A_07_P000475,1,3841.406,0.77862585,2504.175,0.99999994,3774.307,0.8161556,2447.748,1,3216.139,0.93239087,2777.035,putative periplasmic protein [b3150],yraP,predicted protein,GO:0042597(periplasmic space),chr:3294601-3294660,947659,b3150
A_07_P000479,1,4018.155,0.80657667,2713.426,1,3805.332,0.8476413,2563.074,1,3720.889,0.8785858,3027.467,"orf, hypothetical protein [b3151]",yraQ,predicted permease,,chr:3296100-3296041,947668,b3151
A_07_P000481,0.99999994,1228.963,0.7115159,732.0978,1,1091.283,0.79127884,686.1569,1,639.9685,1.3358915,791.7322,"orf, hypothetical protein [b3152]",yraR,predicted nucleoside-diphosphate-sugar epimerase,,chr:3296292-3296233,947667,b3152
A_07_P000486,1,3480.898,0.73350024,2137.653,1,3021.979,0.7894629,1895.744,1,2221.797,1.0334595,2126.407,"orf, hypothetical protein [b3153]",yhbO,predicted intracellular protease,,chr:3297367-3297426,947666,b3153
A_07_P000491,1,1126.426,0.8529271,804.3781,1,1226.526,0.83039373,809.3145,0.99999994,1102.072,0.9163441,935.2271,"orf, hypothetical protein [b3154]",yhbP,conserved protein,,chr:3297841-3297782,947665,b3154
A_07_P000496,0.99999994,5430.274,0.78935856,3588.738,1,4859.43,0.8898167,3435.915,1,4509.716,0.9920863,4143.307,"orf, hypothetical protein [b3155]",yhbQ,predicted endonuclease,,chr:3298000-3298059,947671,b3155
A_07_P000501,1,4429.548,0.84714985,3141.704,1,4420.151,0.8332516,2926.643,0.99999994,3789.557,0.87940586,3086.216,"orf, hypothetical protein [b3156]",yhbS,predicted acyltransferase with acyl-CoA N-acyltransferase domain,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3298510-3298451,947670,b3156
A_07_P000510,1,6868.565,0.7936529,4563.965,1,6303.601,0.8598102,4306.732,1,5646.027,0.9180119,4799.984,"orf, hypothetical protein [b3157]",yhbT,predicted lipid carrier protein,,chr:3299126-3299067,947669,b3157
A_07_P000511,1,2586.536,0.7997078,1731.791,1,2580.99,0.8255237,1693.06,0.99999994,2108.801,0.76494277,1493.871,putative collagenase [b3158],yhbU,predicted peptidase (collagenase-like),,chr:3299623-3299682,949115,b3158
A_07_P000516,0.99999994,3916.4,0.824846,2704.616,1,3912.198,0.82371074,2560.661,1,3430.97,0.96101725,3053.491,"orf, hypothetical protein [b3159]",yhbV,predicted protease,,chr:3301138-3301197,949117,b3159
A_07_P000523,1,1484.056,0.8297795,1031,1,1567.467,0.829431,1033.083,1,1346.019,0.95596683,1191.633,putative enzyme [b3160],yhbW,predicted enzyme,,chr:3302091-3302150,947677,b3160
A_07_P000526,1,7829.114,0.75626,4957.119,1,7137.7,0.8326501,4722.559,1,6377.272,0.9654611,5701.882,tryptophan-specific transport protein [b3161],mtr,tryptophan transporter of high affinity,GO:0000162(tryptophan biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3303551-3303492,947675,b3161
A_07_P000534,0.99999994,5498.101,0.7931007,3650.789,1,4983.006,0.8397748,3325.146,1,4763.787,0.8694778,3835.83,inducible ATP-independent RNA helicase [b3162],deaD,ATP-dependent RNA helicase,GO:0005737(cytoplasm)|GO:0009451(RNA modification),chr:3304936-3304877,947674,b3162
A_07_P000538,0.99999994,1170.496,0.7742151,758.7125,0.99999994,1249.027,0.78258413,776.7109,0.99999994,1084.368,0.91687936,920.7409,putative control proteins [b3163],nlpI,conserved protein,,chr:3306260-3306201,947673,b3163
A_07_P000545,1,4571.611,0.88171136,3374.748,1,4733.44,0.7848864,2952.162,1,3940.565,0.91151965,3326.389,polynucleotide phosphorylase; cytidylate kinase activity [b3164],pnp,polynucleotide phosphorylase/polyadenylase,GO:0005737(cytoplasm)|GO:0006401(RNA catabolic process),chr:3307529-3307470,947672,b3164
A_07_P000550,1,2123.579,0.8636959,1535.589,1,2458.034,0.7883259,1539.75,1,2095.048,0.83370316,1617.536,30S ribosomal subunit protein S15 [b3165],rpsO,30S ribosomal subunit protein S15,GO:0003735(structural constituent of ribosome)|GO:0005737(cytoplasm)|GO:0006412(translation),chr:3309701-3309642,947686,b3165
A_07_P000554,1,3065.041,0.73117834,1876.313,1,2894.39,0.8143129,1872.858,1,2585.553,0.8762687,2098.163,tRNA pseudouridine 5S synthase [b3166],truB,tRNA pseudouridine synthase,GO:0005737(cytoplasm)|GO:0009451(RNA modification),chr:3310049-3309990,947687,b3166
A_07_P000559,1,2647.237,0.7829997,1735.402,1,2583.365,0.78759944,1616.768,1,2334.971,0.83367836,1802.721,ribosome-binding factor A [b3167],rbfA,30s ribosome binding factor,GO:0005737(cytoplasm)|GO:0009451(RNA modification),chr:3311049-3310990,947685,b3167
A_07_P000561,0.99999994,4252.43,0.79325813,2824.213,1,3730.041,0.78552675,2328.258,1,2988.977,0.89055574,2465.087,protein chain initiation factor IF-2 [b3168],infB,"fused protein chain initiation factor 2, IF2: membrane protein/conserved protein",GO:0005737(cytoplasm)|GO:0006412(translation),chr:3311489-3311430,947684,b3168
A_07_P000566,0.99999994,3613.38,0.8193542,2478.74,1,3627.774,0.85636187,2468.619,0.99999994,3233.357,0.8065403,2415.062,transcription pausing; L factor [b3169],nusA,transcription termination/antitermination L factor,"GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)",chr:3314930-3314871,947682,b3169
A_07_P000572,1,1617.871,0.76244664,1032.759,1,1398.167,0.8222765,913.5523,1,1203.551,0.9383693,1045.892,"orf, hypothetical protein [b3170]",yhbC,conserved protein,,chr:3315666-3315607,947680,b3170
A_07_P000576,0.99999994,2464.574,0.7399668,1526.862,1,2210.014,0.8576335,1506.098,1,1984.021,0.85378265,1568.708,argininosuccinate synthetase [b3172],argG,argininosuccinate synthetase,GO:0005737(cytoplasm)|GO:0006526(arginine biosynthetic process),chr:3317843-3317902,947590,b3172
A_07_P000583,1,6282.74,0.76415306,4019.529,1,5903.18,0.8139636,3818.102,1,4986.605,0.8333498,3848.406,putative alkaline phosphatase I [b3173],yhbX,"predicted hydrolase, inner membrane",GO:0009274(peptidoglycan-based cell wall),chr:3318080-3318021,947711,b3173
A_07_P000590,1,5644.918,0.780651,3689.438,0.99999994,4934.617,0.94441754,3703.173,1,4617.591,0.8326853,3560.778,protein export - membrane protein [b3175],secG,preprotein translocase membrane subunit,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3320325-3320266,947720,b3175
A_07_P000591,1,2963.987,0.78556013,1949.402,1,2723.432,0.84043807,1818.774,0.99999994,2570.697,0.8277426,1970.583,similar to phosphoglucomutases and phosphomannomutases [b3176],glmM,phosphoglucosamine mutase,"GO:0005737(cytoplasm)|GO:0006006(glucose metabolic process)|GO:0009243(O antigen biosynthetic process)|GO:0009246(enterobacterial common antigen biosynthetic process)|GO:0009252(peptidoglycan biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0042280(cell surface antigen activity, host-interacting)",chr:3321357-3321298,947692,b3176
A_07_P000598,1,2280.968,0.8183233,1562.751,1,2129.136,0.8719216,1475.154,1,2093.873,0.82692176,1603.479,"7,8-dihydropteroate synthase [b3177]",folP,"7,8-dihydropteroate synthase",GO:0046656(folic acid biosynthetic process),chr:3322362-3322303,947691,b3177
