gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15833620|ref|NP_312393.1|	universal stress protein UspB	ECs4366	NA
gi|15833621|ref|NP_312394.1|	hypothetical protein ECs4367	ECs4367	NA
gi|15833622|ref|NP_312395.1|	inner membrane transporter YhiP	ECs4368	NA
gi|15832169|ref|NP_310942.1|	outer membrane protein	ECs2915	NA
gi|15832713|ref|NP_311486.1|	hypothetical protein ECs3459	ECs3459	NA
gi|15832712|ref|NP_311485.1|	outer membrane protein assembly complex subunit YfiO	ECs3458	NA
gi|15832711|ref|NP_311484.1|	23S rRNA pseudouridine synthase D	ECs3457	rluD
gi|15832710|ref|NP_311483.1|	hypothetical protein ECs3456	ECs3456	NA
gi|15829968|ref|NP_308741.1|	ferric uptake regulator	ECs0714	fur
gi|15829969|ref|NP_308742.1|	flavodoxin FldA	ECs0715	NA
gi|15834568|ref|NP_313341.1|	hypothetical protein ECs5314	ECs5314	NA
gi|15831957|ref|NP_310730.1|	hypothetical protein ECs2703	ECs2703	NA
gi|15829964|ref|NP_308737.1|	glutaminyl-tRNA synthetase	ECs0710	NA
gi|15834389|ref|NP_313162.1|	fumarate reductase flavoprotein subunit	ECs5135	NA
gi|15832719|ref|NP_311492.1|	hypothetical protein ECs3465	ECs3465	NA
gi|15829967|ref|NP_308740.1|	hypothetical protein ECs0713	ECs0713	NA
gi|15829960|ref|NP_308733.1|	transcriptional repressor of N-acetylglucosamine operon	ECs0706	NA
gi|15829961|ref|NP_308734.1|	N-acetylglucosamine-6-phosphate deacetylase	ECs0707	nagA
gi|15829962|ref|NP_308735.1|	glucosamine-6-phosphate deaminase	ECs0708	nagB
gi|15829963|ref|NP_308736.1|	PTS system N-acetyl glucosamine specific transporter subunit IIABC	ECs0709	NA
gi|15834464|ref|NP_313237.1|	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	ECs5210	NA
gi|15834411|ref|NP_313184.1|	hypothetical protein ECs5157	ECs5157	NA
gi|38704140|ref|NP_311993.2|	hypothetical protein ECs3966	ECs3966	NA
gi|38704213|ref|NP_944577.1|	hypothetical protein ECs5565	ECs5565	NA
gi|38704064|ref|NP_944554.1|	hypothetical protein ECs5484	ECs5484	NA
gi|15833654|ref|NP_312427.1|	regulator	ECs4400	NA
gi|15829366|ref|NP_308139.1|	major pilin subunit	ECs0112	NA
gi|15829367|ref|NP_308140.1|	quinolinate phosphoribosyltransferase	ECs0113	NA
gi|15829364|ref|NP_308137.1|	type IV pilin biogenesis protein	ECs0110	NA
gi|15829365|ref|NP_308138.1|	hypothetical protein ECs0111	ECs0111	NA
gi|15829362|ref|NP_308135.1|	guanosine 5'-monophosphate oxidoreductase	ECs0108	NA
gi|162139734|ref|NP_312925.2|	glutamate racemase	ECs4898	NA
gi|15829360|ref|NP_308133.1|	hypothetical protein ECs0106	ECs0106	NA
gi|15829361|ref|NP_308134.1|	dephospho-CoA kinase	ECs0107	coaE
gi|38704168|ref|NP_312328.2|	leucine/isoleucine/valine transporter ATP-binding protein	ECs4301	livF
gi|15833123|ref|NP_311896.1|	hypothetical protein ECs3869	ECs3869	NA
gi|38704065|ref|NP_311139.2|	hypothetical protein ECs3112	ECs3112	NA
gi|15831663|ref|NP_310436.1|	phosphoenolpyruvate synthase	ECs2409	NA
gi|15829368|ref|NP_308141.1|	N-acetyl-anhydromuranmyl-L-alanine amidase	ECs0114	NA
gi|15829369|ref|NP_308142.1|	regulatory protein AmpE	ECs0115	NA
gi|15833530|ref|NP_312303.1|	glycogen debranching protein	ECs4276	NA
gi|15832043|ref|NP_310816.1|	hypothetical protein ECs2789	ECs2789	NA
gi|15830249|ref|NP_309022.1|	integration host factor subunit beta	ECs0995	ihfB
gi|15830248|ref|NP_309021.1|	30S ribosomal protein S1	ECs0994	rpsA
gi|15833534|ref|NP_312307.1|	DNA processing protein DprA	ECs4280	NA
gi|15833827|ref|NP_312600.1|	EscJ	ECs4573	NA
gi|15833824|ref|NP_312597.1|	hypothetical protein ECs4570	ECs4570	NA
gi|15832042|ref|NP_310815.1|	adenosylcobinamide kinase	ECs2788	cobU
gi|15830243|ref|NP_309016.1|	hypothetical protein ECs0989	ECs0989	NA
gi|15833539|ref|NP_312312.1|	low affinity gluconate transporter	ECs4285	NA
gi|15830241|ref|NP_309014.1|	formate transporter	ECs0987	NA
gi|15830240|ref|NP_309013.1|	formate acetyltransferase 1	ECs0986	NA
gi|15830247|ref|NP_309020.1|	cytidylate kinase	ECs0993	cmk
gi|15830246|ref|NP_309019.1|	heat shock protein	ECs0992	NA
gi|15830245|ref|NP_309018.1|	3-phosphoshikimate 1-carboxyvinyltransferase	ECs0991	NA
gi|15830244|ref|NP_309017.1|	phosphoserine aminotransferase	ECs0990	NA
gi|15832807|ref|NP_311580.1|	carbon storage regulator	ECs3553	NA
gi|15832806|ref|NP_311579.1|	fructose-1-phosphatase	ECs3552	NA
gi|15832805|ref|NP_311578.1|	hypothetical protein ECs3551	ECs3551	NA
gi|15832040|ref|NP_310813.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	ECs2786	cobT
gi|15832803|ref|NP_311576.1|	S-ribosylhomocysteinase	ECs3549	NA
gi|15832802|ref|NP_311575.1|	multidrug resistance protein B	ECs3548	NA
gi|15832801|ref|NP_311574.1|	multidrug resistance secretion protein	ECs3547	NA
gi|15832800|ref|NP_311573.1|	transcriptional repressor MprA	ECs3546	NA
gi|38704096|ref|NP_944559.1|	hypothetical protein ECs5497	ECs5497	NA
gi|15834100|ref|NP_312873.1|	hypothetical protein ECs4846	ECs4846	NA
gi|15834457|ref|NP_313230.1|	toxin ChpB	ECs5203	NA
gi|15832809|ref|NP_311582.1|	recombination regulator RecX	ECs3555	recX
gi|15832046|ref|NP_310819.1|	hypothetical protein ECs2792	ECs2792	NA
gi|15832435|ref|NP_311208.1|	phosphate acetyltransferase	ECs3181	NA
gi|15834359|ref|NP_313132.1|	anaerobic C4-dicarboxylate transporter	ECs5105	NA
gi|15832044|ref|NP_310817.1|	hypothetical protein ECs2790	ECs2790	NA
gi|15832433|ref|NP_311206.1|	hypothetical protein ECs3179, partial	ECs3179	NA
gi|15831918|ref|NP_310691.1|	flagellar protein FliS	ECs2664	fliS
gi|15831919|ref|NP_310692.1|	flagellar biosynthesis protein FliT	ECs2665	NA
gi|15831448|ref|NP_310221.1|	crossover junction endodeoxyribonuclease	ECs2194	NA
gi|15831449|ref|NP_310222.1|	hypothetical protein ECs2195	ECs2195	NA
gi|15833129|ref|NP_311902.1|	hydrogenase 2 accessory protein HypG	ECs3875	NA
gi|15834122|ref|NP_312895.1|	cystathionine gamma-synthase	ECs4868	NA
gi|15834158|ref|NP_312931.1|	preprotein translocase subunit SecE	ECs4904	secE
gi|15831442|ref|NP_310215.1|	holin	ECs2188	NA
gi|15831443|ref|NP_310216.1|	hypothetical protein ECs2189	ECs2189	NA
gi|15831440|ref|NP_310213.1|	endolysin	ECs2186	NA
gi|15831441|ref|NP_310214.1|	hypothetical protein ECs2187	ECs2187	NA
gi|15831446|ref|NP_310219.1|	hypothetical protein ECs2192	ECs2192	NA
gi|15831447|ref|NP_310220.1|	anti-terminator protein	ECs2193	NA
gi|15831444|ref|NP_310217.1|	hypothetical protein ECs2190	ECs2190	NA
gi|15831445|ref|NP_310218.1|	transcriptional regulator	ECs2191	NA
gi|38704237|ref|NP_313167.2|	ribosome-associated GTPase	ECs5140	NA
gi|38704236|ref|NP_313163.2|	lysyl-tRNA synthetase	ECs5136	NA
gi|38704235|ref|NP_944583.1|	entericidin B membrane lipoprotein	ECs5586	NA
gi|38704234|ref|NP_313147.2|	aspartate ammonia-lyase	ECs5120	aspA
gi|38704233|ref|NP_313119.2|	hypothetical protein ECs5092	ECs5092	NA
gi|38704232|ref|NP_944582.1|	hypothetical protein ECs5584	ECs5584	NA
gi|38704231|ref|NP_313090.2|	multidrug efflux system protein MdtO	ECs5063	NA
gi|38704230|ref|NP_313069.2|	hypothetical protein ECs5042	ECs5042	NA
gi|15834397|ref|NP_313170.1|	hypothetical protein ECs5142	ECs5142	NA
gi|15834396|ref|NP_313169.1|	hypothetical protein ECs5143	ECs5143	NA
gi|15834391|ref|NP_313164.1|	transport	ECs5137	NA
gi|15834393|ref|NP_313166.1|	phosphatidylserine decarboxylase	ECs5139	psd
gi|15831151|ref|NP_309924.1|	ABC transporter ATP-binding protein	ECs1897	NA
gi|15832939|ref|NP_311712.1|	prolipoprotein diacylglyceryl transferase	ECs3685	NA
gi|15832938|ref|NP_311711.1|	thymidylate synthase	ECs3684	thyA
gi|15834102|ref|NP_312875.1|	universal stress protein UspD	ECs4848	NA
gi|15832933|ref|NP_311706.1|	exonuclease V subunit gamma	ECs3679	recC
gi|15832932|ref|NP_311705.1|	protease III	ECs3678	NA
gi|15832931|ref|NP_311704.1|	exonuclease V subunit beta	ECs3677	recB
gi|15832930|ref|NP_311703.1|	exonuclease V subunit alpha	ECs3676	recD
gi|15832937|ref|NP_311710.1|	hypothetical protein ECs3683	ECs3683	NA
gi|15832080|ref|NP_310853.1|	imidazole glycerol phosphate synthase subunit HisF	ECs2826	NA
gi|15832934|ref|NP_311707.1|	hypothetical protein ECs3680	ECs3680	NA
gi|15831229|ref|NP_310002.1|	hypothetical protein ECs1975	ECs1975	NA
gi|15831651|ref|NP_310424.1|	transport system permease	ECs2397	NA
gi|38704184|ref|NP_312532.2|	RfaP protein	ECs4505	NA
gi|15829780|ref|NP_308553.1|	heat shock protein 90	ECs0526	NA
gi|15829781|ref|NP_308554.1|	adenylate kinase	ECs0527	adk
gi|15829782|ref|NP_308555.1|	ferrochelatase	ECs0528	hemH
gi|15829783|ref|NP_308556.1|	acetyl esterase	ECs0529	NA
gi|15829784|ref|NP_308557.1|	inosine-guanosine kinase	ECs0530	NA
gi|15829785|ref|NP_308558.1|	cation:proton antiport protein	ECs0531	NA
gi|15829786|ref|NP_308559.1|	fosmidomycin resistance protein	ECs0532	NA
gi|15829787|ref|NP_308560.1|	bifunctional UDP-sugar hydrolase/5'-nucleotidase periplasmic	ECs0533	ushA
gi|15829788|ref|NP_308561.1|	hypothetical protein ECs0534	ECs0534	NA
gi|15829789|ref|NP_308562.1|	ligase	ECs0535	NA
gi|15830656|ref|NP_309429.1|	hypothetical protein ECs1402	ECs1402	NA
gi|15830657|ref|NP_309430.1|	DNA repair protein	ECs1403	NA
gi|15830650|ref|NP_309423.1|	AidA-I	ECs1396	NA
gi|15830651|ref|NP_309424.1|	hypothetical protein ECs1397	ECs1397	NA
gi|15830652|ref|NP_309425.1|	hypothetical protein ECs1398	ECs1398	NA
gi|15830653|ref|NP_309426.1|	hypothetical protein ECs1399	ECs1399	NA
gi|15830098|ref|NP_308871.1|	tail fiber protein	ECs0844	NA
gi|15830099|ref|NP_308872.1|	hypothetical protein ECs0845	ECs0845	NA
gi|15829548|ref|NP_308321.1|	hypothetical protein ECs0294	ECs0294	NA
gi|15829549|ref|NP_308322.1|	hypothetical protein ECs0295	ECs0295	NA
gi|15830092|ref|NP_308865.1|	minor tail protein	ECs0838	NA
gi|15830093|ref|NP_308866.1|	minor tail protein	ECs0839	NA
gi|15829544|ref|NP_308317.1|	hypothetical protein ECs0290	ECs0290	NA
gi|15829545|ref|NP_308318.1|	hypothetical protein ECs0291	ECs0291	NA
gi|15829542|ref|NP_308315.1|	hypothetical protein ECs0288, partial	ECs0288	NA
gi|15829543|ref|NP_308316.1|	integrase	ECs0289	NA
gi|15830094|ref|NP_308867.1|	tail assembly protein	ECs0840	NA
gi|15829541|ref|NP_308314.1|	transcriptional regulator	ECs0287	NA
gi|15834081|ref|NP_312854.1|	glycoprotein	ECs4827	NA
gi|15834080|ref|NP_312853.1|	fructose-like phosphotransferase system subunit EIIA	ECs4826	NA
gi|15834083|ref|NP_312856.1|	rhamnulose-1-phosphate aldolase	ECs4829	NA
gi|15831922|ref|NP_310695.1|	hypothetical protein ECs2668	ECs2668	NA
gi|15834085|ref|NP_312858.1|	rhamnulokinase	ECs4831	rhaB
gi|15834084|ref|NP_312857.1|	L-rhamnose isomerase	ECs4830	NA
gi|15834087|ref|NP_312860.1|	transcriptional activator RhaR	ECs4833	NA
gi|15834086|ref|NP_312859.1|	transcriptional activator RhaS	ECs4832	NA
gi|38704150|ref|NP_312122.2|	N-acetylmannosamine kinase	ECs4095	NA
gi|15831659|ref|NP_310432.1|	electron transfer flavoprotein subunit YdiR	ECs2405	NA
gi|15831924|ref|NP_310697.1|	hypothetical protein ECs2670	ECs2670	NA
gi|15832069|ref|NP_310842.1|	transport system permease	ECs2815	NA
gi|15832068|ref|NP_310841.1|	hypothetical protein ECs2814	ECs2814	NA
gi|15831658|ref|NP_310431.1|	electron transfer flavoprotein YdiQ	ECs2404	NA
gi|15834069|ref|NP_312842.1|	hypothetical protein ECs4815	ECs4815	NA
gi|15832061|ref|NP_310834.1|	hypothetical protein ECs2807	ECs2807	NA
gi|15832060|ref|NP_310833.1|	hypothetical protein ECs2806	ECs2806	NA
gi|15832062|ref|NP_310835.1|	hypothetical protein ECs2808	ECs2808	NA
gi|15832065|ref|NP_310838.1|	DNA gyrase inhibitor	ECs2811	NA
gi|15832064|ref|NP_310837.1|	hypothetical protein ECs2810	ECs2810	NA
gi|15832067|ref|NP_310840.1|	exonuclease I	ECs2813	sbcB
gi|15831797|ref|NP_310570.1|	hypothetical protein ECs2543	ECs2543	NA
gi|15831679|ref|NP_310452.1|	translation initiation factor IF-3	ECs2425	infC
gi|15834067|ref|NP_312840.1|	hypothetical protein ECs4813	ECs4813	NA
gi|15834066|ref|NP_312839.1|	hypothetical protein ECs4812	ECs4812	NA
gi|15831671|ref|NP_310444.1|	glutathione peroxidase	ECs2417	btuE
gi|15831670|ref|NP_310443.1|	vitamin B12-transporter ATPase	ECs2416	NA
gi|15831673|ref|NP_310446.1|	integration host factor subunit alpha	ECs2419	ihfA
gi|15831672|ref|NP_310445.1|	vtamin B12-transporter permease	ECs2418	NA
gi|15831675|ref|NP_310448.1|	phenylalanyl-tRNA synthetase subunit alpha	ECs2421	pheS
gi|15831674|ref|NP_310447.1|	phenylalanyl-tRNA synthetase subunit beta	ECs2420	pheT
gi|15831677|ref|NP_310450.1|	50S ribosomal protein L20	ECs2423	rplT
gi|15834246|ref|NP_313019.1|	DNA-invertase	ECs4992	NA
gi|15834064|ref|NP_312837.1|	D-tyrosyl-tRNA(Tyr) deacylase	ECs4810	NA
gi|15834063|ref|NP_312836.1|	ribonuclease BN	ECs4809	rbn
gi|38704107|ref|NP_311476.2|	hypothetical protein ECs3449	ECs3449	NA
gi|15833120|ref|NP_311893.1|	hypothetical protein ECs3866	ECs3866	NA
gi|15833753|ref|NP_312526.1|	ADP-heptose--LPS heptosyltransferase	ECs4499	NA
gi|15834061|ref|NP_312834.1|	DeoR family transcriptional regulator	ECs4807	NA
gi|38704156|ref|NP_312168.2|	periplasmic binding transport protein	ECs4141	NA
gi|15834060|ref|NP_312833.1|	kinase	ECs4806	NA
gi|15834358|ref|NP_313131.1|	fumarase B	ECs5104	NA
gi|38704208|ref|NP_312816.2|	coproporphyrinogen III oxidase	ECs4789	NA
gi|15832399|ref|NP_311172.1|	4-amino-4-deoxy-L-arabinose transferase	ECs3145	arnT
gi|15832398|ref|NP_311171.1|	hypothetical protein ECs3144	ECs3144	NA
gi|15832397|ref|NP_311170.1|	bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase	ECs3143	NA
gi|15832396|ref|NP_311169.1|	undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase	ECs3142	NA
gi|15832394|ref|NP_311167.1|	aluminum-inducible protein	ECs3140	NA
gi|15832393|ref|NP_311166.1|	hypothetical protein ECs3139	ECs3139	NA
gi|15832391|ref|NP_311164.1|	competence damage-inducible protein A	ECs3137	NA
gi|15832390|ref|NP_311163.1|	regulator	ECs3136	NA
gi|38704157|ref|NP_312169.2|	transport system permease	ECs4142	NA
gi|15834553|ref|NP_313326.1|	hypothetical protein ECs5299	ECs5299	NA
gi|15834431|ref|NP_313204.1|	primosomal replication protein N	ECs5177	NA
gi|38704216|ref|NP_312903.2|	PEP-protein phosphotransferase system enzyme I	ECs4877	NA
gi|15831668|ref|NP_310441.1|	hypothetical protein ECs2414	ECs2414	NA
gi|15833601|ref|NP_312374.1|	nickel transporter ATP-binding protein NikE	ECs4347	nikE
gi|15830474|ref|NP_309247.1|	terminase large subunit	ECs1220	NA
gi|15830475|ref|NP_309248.1|	portal protein	ECs1221	NA
gi|15830476|ref|NP_309249.1|	hypothetical protein ECs1222	ECs1222	NA
gi|15830477|ref|NP_309250.1|	hypothetical protein ECs1223	ECs1223	NA
gi|15830471|ref|NP_309244.1|	Bor protein	ECs1217	NA
gi|15830473|ref|NP_309246.1|	small subunit terminase	ECs1219	NA
gi|15834050|ref|NP_312823.1|	resistance protein	ECs4796	NA
gi|15834385|ref|NP_313158.1|	beta-lactamase	ECs5131	ampC
gi|15830478|ref|NP_309251.1|	hypothetical protein ECs1224	ECs1224	NA
gi|15830479|ref|NP_309252.1|	hypothetical protein ECs1225	ECs1225	NA
gi|15834408|ref|NP_313181.1|	transcriptional repressor NsrR	ECs5154	NA
gi|15833837|ref|NP_312610.1|	type III secretion system protein	ECs4583	NA
gi|15833242|ref|NP_312015.1|	hypothetical protein ECs3988	ECs3988	NA
gi|15834309|ref|NP_313082.1|	hypothetical protein ECs5055	ECs5055	NA
gi|15833368|ref|NP_312141.1|	p-hydroxybenzoic acid efflux subunit AaeA	ECs4114	NA
gi|15832886|ref|NP_311659.1|	kinase	ECs3632	NA
gi|15832483|ref|NP_311256.1|	lipoprotein precursor	ECs3229	NA
gi|15832482|ref|NP_311255.1|	hypothetical protein ECs3228	ECs3228	NA
gi|15832481|ref|NP_311254.1|	long-chain fatty acid outer membrane transporter	ECs3227	NA
gi|15833998|ref|NP_312771.1|	hypothetical protein ECs4744	ECs4744	NA
gi|15832487|ref|NP_311260.1|	DNA transfer protein	ECs3233	NA
gi|15832486|ref|NP_311259.1|	DNA injection protein	ECs3232	NA
gi|15832485|ref|NP_311258.1|	prophage Sf6-like integrase	ECs3231	NA
gi|15832484|ref|NP_311257.1|	transport	ECs3230	NA
gi|15831789|ref|NP_310562.1|	hypothetical protein ECs2535	ECs2535	NA
gi|15832489|ref|NP_311262.1|	hypothetical protein ECs3235, partial	ECs3235	NA
gi|15832488|ref|NP_311261.1|	hypothetical protein ECs3234	ECs3234	NA
gi|15834407|ref|NP_313180.1|	adenylosuccinate synthetase	ECs5153	NA
gi|15831293|ref|NP_310066.1|	collagenase	ECs2039	NA
gi|15831292|ref|NP_310065.1|	hypothetical protein ECs2037	ECs2037	NA
gi|15832243|ref|NP_311016.1|	regulatory protein	ECs2989	NA
gi|15831290|ref|NP_310063.1|	hypothetical protein ECs2036	ECs2036	NA
gi|15831297|ref|NP_310070.1|	transcriptional regulator	ECs2043	NA
gi|15831296|ref|NP_310069.1|	hypothetical protein ECs2042	ECs2042	NA
gi|15831295|ref|NP_310068.1|	hypothetical protein ECs2041	ECs2041	NA
gi|15831294|ref|NP_310067.1|	hypothetical protein ECs2040	ECs2040	NA
gi|15832249|ref|NP_311022.1|	superinfection exclusion protein	ECs2995	NA
gi|15832248|ref|NP_311021.1|	regulatory protein	ECs2993	NA
gi|15831299|ref|NP_310072.1|	ABC transporter ATP-binding protein	ECs2045	NA
gi|15831298|ref|NP_310071.1|	transporter	ECs2044	NA
gi|15833864|ref|NP_312637.1|	hypothetical protein ECs4610	ECs4610	NA
gi|15831750|ref|NP_310523.1|	hypothetical protein ECs2496	ECs2496	NA
gi|15830508|ref|NP_309281.1|	hypothetical protein ECs1254	ECs1254	NA
gi|15830509|ref|NP_309282.1|	acetyltransferase	ECs1255	NA
gi|15831053|ref|NP_309826.1|	hypothetical protein ECs1799	ECs1799	NA
gi|15831052|ref|NP_309825.1|	hypothetical protein ECs1798	ECs1798	NA
gi|15831055|ref|NP_309828.1|	tail assembly chaperone	ECs1801	NA
gi|15831054|ref|NP_309827.1|	major tail subunit	ECs1800	NA
gi|15831057|ref|NP_309830.1|	tail length tape measure protein	ECs1803	NA
gi|15831056|ref|NP_309829.1|	hypothetical protein ECs1802	ECs1802	NA
gi|15830500|ref|NP_309273.1|	hypothetical protein ECs1246	ECs1246	NA
gi|15830501|ref|NP_309274.1|	hypothetical protein ECs1247	ECs1247	NA
gi|15830502|ref|NP_309275.1|	hypothetical protein ECs1248	ECs1248	NA
gi|15830503|ref|NP_309276.1|	hypothetical protein ECs1249	ECs1249	NA
gi|15830504|ref|NP_309277.1|	C4-type zinc finger TraR	ECs1250	NA
gi|15830505|ref|NP_309278.1|	anti-repressor protein	ECs1251	NA
gi|15833988|ref|NP_312761.1|	uroporphyrinogen-III synthase	ECs4734	hemD
gi|15833249|ref|NP_312022.1|	propionate/acetate kinase	ECs3995	NA
gi|15833364|ref|NP_312137.1|	arginine repressor ArgR	ECs4110	NA
gi|15833058|ref|NP_311831.1|	fructose transport system kinase	ECs3804	frcK
gi|15833366|ref|NP_312139.1|	hypothetical protein ECs4112	ECs4112	NA
gi|15832840|ref|NP_311613.1|	hypothetical protein ECs3586	ECs3586	NA
gi|15833752|ref|NP_312525.1|	ADP-heptose--LPS heptosyltransferase	ECs4498	NA
gi|15833288|ref|NP_312061.1|	hypothetical protein ECs4034	ECs4034	NA
gi|15833289|ref|NP_312062.1|	hypothetical protein ECs4035	ECs4035	NA
gi|15833286|ref|NP_312059.1|	hypothetical protein ECs4032	ECs4032	NA
gi|15833287|ref|NP_312060.1|	hypothetical protein ECs4033	ECs4033	NA
gi|15833284|ref|NP_312057.1|	DnaA initiator-associating protein DiaA	ECs4030	NA
gi|15833285|ref|NP_312058.1|	hypothetical protein ECs4031	ECs4031	NA
gi|15833282|ref|NP_312055.1|	glycosylase	ECs4028	NA
gi|15833283|ref|NP_312056.1|	hypothetical protein ECs4029	ECs4029	NA
gi|15833280|ref|NP_312053.1|	fimbrial protein	ECs4026	NA
gi|15833281|ref|NP_312054.1|	hypothetical protein ECs4027	ECs4027	NA
gi|38703949|ref|NP_944524.1|	hypothetical protein ECs5422	ECs5422	NA
gi|15833868|ref|NP_312641.1|	multidrug resistance protein D	ECs4614	emrD
gi|38703940|ref|NP_309600.2|	hypothetical protein ECs1573	ECs1573	NA
gi|38703941|ref|NP_944522.1|	hypothetical protein ECs5420	ECs5420	NA
gi|38703942|ref|NP_309616.2|	hypothetical protein ECs1589	ECs1589	NA
gi|38703943|ref|NP_309618.2|	prohead protease	ECs1591	NA
gi|38703944|ref|NP_309632.2|	tRNA-specific 2-thiouridylase MnmA	ECs1605	mnmA
gi|38703945|ref|NP_944523.1|	hypothetical protein ECs5421	ECs5421	NA
gi|38703946|ref|NP_309701.2|	hypothetical protein ECs1674	ECs1674	NA
gi|15834033|ref|NP_312806.1|	molybdopterin-guanine dinucleotide biosynthesis protein B	ECs4779	NA
gi|15833533|ref|NP_312306.1|	dITP- and XTP- hydrolase	ECs4279	NA
gi|15834329|ref|NP_313102.1|	carbon-phosphorus lyase complex accessory protein	ECs5075	phnP
gi|15832714|ref|NP_311487.1|	translation inhibitor protein RaiA	ECs3460	NA
gi|15832652|ref|NP_311425.1|	ATP synthase subunit beta	ECs3398	NA
gi|15832653|ref|NP_311426.1|	inositol monophosphatase	ECs3399	NA
gi|38704203|ref|NP_944574.1|	hypothetical protein ECs5556	ECs5556	NA
gi|15832651|ref|NP_311424.1|	DNA-binding transcriptional regulator IscR	ECs3397	NA
gi|15832656|ref|NP_311429.1|	3-phenylpropionic acid transporter	ECs3402	NA
gi|15832657|ref|NP_311430.1|	DNA-binding transcriptional regulator HcaR	ECs3403	NA
gi|15831857|ref|NP_310630.1|	universal stress protein UspC	ECs2603	NA
gi|15831380|ref|NP_310153.1|	trans-aconitate 2-methyltransferase	ECs2126	NA
gi|15834405|ref|NP_313178.1|	FtsH protease regulator HflC	ECs5151	NA
gi|15834404|ref|NP_313177.1|	FtsH protease regulator HflK	ECs5150	NA
gi|15832658|ref|NP_311431.1|	phenylpropionate dioxygenase large terminal subunit	ECs3404	NA
gi|15832659|ref|NP_311432.1|	3-phenylpropionate dioxygenase subunit beta	ECs3405	NA
gi|15834401|ref|NP_313174.1|	tRNA delta(2)-isopentenylpyrophosphate transferase	ECs5147	miaA
gi|15831383|ref|NP_310156.1|	hypothetical protein ECs2129	ECs2129	NA
gi|15834403|ref|NP_313176.1|	GTPase HflX	ECs5149	NA
gi|15834402|ref|NP_313175.1|	RNA-binding protein Hfq	ECs5148	hfq
gi|15833754|ref|NP_312527.1|	lipid A-core:surface polymer ligase	ECs4500	NA
gi|15833755|ref|NP_312528.1|	lipopolysaccharide 1,2-N- acetylglucosaminetransferase	ECs4501	NA
gi|15833756|ref|NP_312529.1|	UDP-glucose:(galactosyl) LPS alpha1,2-glucosyltransferase	ECs4502	NA
gi|15831382|ref|NP_310155.1|	altronate oxidoreductase	ECs2128	NA
gi|15833750|ref|NP_312523.1|	hypothetical protein ECs4496	ECs4496	NA
gi|15833751|ref|NP_312524.1|	ADP-L-glycero-D-manno-heptose-6-epimerase	ECs4497	rfaD
gi|15832283|ref|NP_311056.1|	isomerase	ECs3029	NA
gi|162139779|ref|NP_310900.2|	uridine kinase	ECs2873	NA
gi|15831109|ref|NP_309882.1|	translation initiation factor Sui1	ECs1855	NA
gi|15833758|ref|NP_312531.1|	UDP-D-galactose:(glucosyl)lipopolysaccharide- alpha-1,3-D-galactosyltransferase	ECs4504	NA
gi|15831384|ref|NP_310157.1|	hypothetical protein ECs2130	ECs2130	NA
gi|15830892|ref|NP_309665.1|	minor tail protein	ECs1638	NA
gi|15830893|ref|NP_309666.1|	minor tail protein	ECs1639	NA
gi|15830890|ref|NP_309663.1|	DNA packaging protein	ECs1636	NA
gi|15830891|ref|NP_309664.1|	minor capsid protein	ECs1637	NA
gi|15830896|ref|NP_309669.1|	minor tail protein	ECs1642	NA
gi|15830897|ref|NP_309670.1|	tail length tape measure protein	ECs1643	NA
gi|15830894|ref|NP_309667.1|	major tail protein V	ECs1640	NA
gi|15830895|ref|NP_309668.1|	minor tail protein	ECs1641	NA
gi|15830898|ref|NP_309671.1|	minor tail protein	ECs1644	NA
gi|15830899|ref|NP_309672.1|	minor tail protein	ECs1645	NA
gi|15834515|ref|NP_313288.1|	ATP-dependent helicase	ECs5261	NA
gi|15833992|ref|NP_312765.1|	hypothetical protein ECs4737	ECs4737	NA
gi|38704201|ref|NP_312724.2|	hypothetical protein ECs4697	ECs4697	NA
gi|15830878|ref|NP_309651.1|	lipoprotein Rz1	ECs1624	NA
gi|15830879|ref|NP_309652.1|	Bor protein	ECs1625	NA
gi|15831871|ref|NP_310644.1|	integrase	ECs2617	NA
gi|15831870|ref|NP_310643.1|	hypothetical protein ECs2616	ECs2616	NA
gi|15831877|ref|NP_310650.1|	hypothetical protein ECs2623	ECs2623	NA
gi|15831876|ref|NP_310649.1|	DNA-binding protein	ECs2622	NA
gi|15833639|ref|NP_312412.1|	ShuY-like protein	ECs4385	NA
gi|15831874|ref|NP_310647.1|	transcriptional regulator	ECs2620	NA
gi|15830870|ref|NP_309643.1|	hypothetical protein ECs1616	ECs1616	NA
gi|15830871|ref|NP_309644.1|	prophage protein NinE	ECs1617	NA
gi|15830872|ref|NP_309645.1|	hypothetical protein ECs1618	ECs1618	NA
gi|15830873|ref|NP_309646.1|	endodeoxyribonuclease RUS	ECs1619	NA
gi|15830874|ref|NP_309647.1|	antitermination protein	ECs1620	NA
gi|15830875|ref|NP_309648.1|	holin	ECs1621	NA
gi|15830876|ref|NP_309649.1|	endolysin	ECs1622	NA
