all genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC screening 05082013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,,output pool 1,,,input pool 2,,,output pool 2,,,input pool 3,,,output pool 3,,,BAC2B24,,,BAC2B5,,,,,,,,,
A_07_P011864,1,P,6236.201,0.83651465,P,4042.307,0.99999994,P,5069.781,0.82131505,P,2986.45,1,P,2740.642,0.839111,P,3067.149,0.9447519,P,3996.107,0.98778725,P,4112.345,,yggI,conserved protein,,chr:3087946-3088005,947443,b2944
A_07_P009559,1,P,11209.98,1.3961022,P,12127.12,1,P,7113.128,2.0776646,P,10599.67,1,P,4115.932,1.7865348,P,9807.149,1.0177692,P,9831.516,0.98223084,P,9338.811,,pqqL,predicted peptidase,GO:0005737(cytoplasm),chr:1570540-1570481,946059,b1494
A_07_P017166,1,P,18426.91,0.88056856,P,12573.36,1,P,14391.44,0.79845303,P,8241.569,1,P,8299.932,0.82687235,P,9153.268,0.79661363,P,10003.28,0.8097111,P,10007.64,,dinD,DNA-damage-inducible protein,GO:0005737(cytoplasm)|GO:0006281(DNA repair),chr:3816349-3816408,948153,b3645
A_07_P017163,1,P,23217.68,0.8147072,P,14657.37,1,P,20086.47,0.76043,P,10955.17,1,P,11374.96,0.7046767,P,10690.62,0.69253516,P,10367.27,0.7851851,P,11569.15,,yicC,conserved protein,,chr:3815389-3815448,948154,b3644
A_07_P043406,0.99999994,P,4627.14,0.61786366,P,2215.343,1,P,4331.588,0.55890644,P,1736.371,1,P,4141.136,0.4473715,P,2470.876,0.14418726,P,420.2529,0.27755007,P,796.2181,,Z0312,partial O replication protein for prophage CP-933H,,,957085,Z0312
A_07_P009551,1,P,22457.95,0.86153793,P,14992.71,1,P,18757.32,0.9078821,P,12213.96,1,P,8313.539,0.98191315,P,10887.35,0.74190766,P,11379.15,0.94687057,P,14294.12,,gadB,"glutamate decarboxylase B, PLP-dependent",GO:0005737(cytoplasm)|GO:0006520(amino acid metabolic process)|GO:0009063(amino acid catabolic process),chr:1568937-1568878,946058,b1493
A_07_P017160,1,P,19866.24,0.8438272,P,12989.87,1,M,13766.97,0.7629519,P,7533.412,1,P,7672.436,0.8386028,P,8581.292,0.67298025,P,8319.645,0.73572654,P,8952.116,,rph,defective ribonuclease PH,GO:0006401(RNA catabolic process),chr:3814519-3814460,948156,b3643
A_07_P043403,1,P,150.2721,0.94359267,P,109.8749,1,P,84.68721,1.652016,P,100.3433,1,P,43.85133,0.77544487,A,45.35204,0.2330301,A,19.21332,0.28742185,A,23.32475,,Z0311,partial O replication protein for prophage CP-933H,,,957082,Z0311
A_07_P051011,1,P,8305.553,1.2262973,P,7892.234,1,P,6802.87,1.20729,P,5890.607,1,P,3708.127,1.3487561,P,6670.388,1.0049866,P,7384.55,0.9950133,P,7196.137,,ycbO,alkanesulfonate transporter substrate-binding subunit,,,958917,Z1284
A_07_P005197,1,P,9491.685,0.97478956,P,7169.515,1,P,7306.973,1.0292319,P,5393.951,1,P,3993.214,1.0280086,P,5474.979,1.107929,P,8214.277,1.0587038,P,7725.716,,pqiA,paraquat-inducible membrane protein A,,chr:1012377-1012436,944999,b0950
A_07_P005192,1,P,10217.27,1.1675129,P,9243.409,1,P,7709.443,1.1361654,P,6282.331,1,P,4032.294,0.6500657,P,3496.009,1.2658116,P,10367.12,1.1385412,P,9177.928,,uup,fused predicted transporter subunits of ABC superfamily: ATP-binding components,GO:0005737(cytoplasm),chr:1010835-1010894,945566,b0949
A_07_P011856,1,P,14993.6,0.95245486,P,11065.88,1,P,12054.79,0.88283783,P,7633.028,0.99999994,P,6883.791,0.87686765,P,8050.537,0.9886116,P,10984.72,0.89555013,P,9793.998,,galP,D-galactose transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0016052(carbohydrate catabolic process)|GO:0019866(organelle inner membrane),chr:3087629-3087688,947434,b2943
A_07_P011854,0.99999994,P,10319.87,0.9296161,P,7433.845,1,P,8206.875,0.88927275,P,5234.426,1,P,4112.394,0.92124534,P,5052.812,0.91471803,P,6617.757,0.9340079,P,6650.908,,metK,methionine adenosyltransferase 1,GO:0005737(cytoplasm)|GO:0006556(S-adenosylmethionine biosynthetic process),chr:3085302-3085361,945389,b2942
A_07_P011850,1,P,7610.669,0.94930965,P,5598.431,1,P,5580.623,1.0336767,P,4137.364,1,P,3647.827,0.9678496,P,4708.745,1.0378749,P,6096.625,1.014886,P,5867.709,,yqgD,predicted inner membrane protein,,chr:3084497-3084438,945430,b2941
A_07_P009546,1,P,41144.11,1.2326859,P,39300.29,1,P,33262.74,1.4640363,P,34927.39,1,P,19888.32,1.1347976,P,30100.91,0.75895673,P,26460.69,0.91025794,P,31236,,gadC,predicted glutamate:gamma-aminobutyric acid antiporter,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:1567148-1567089,946057,b1492
A_07_P017154,1,P,34346.05,0.8377482,P,22295.95,1,P,23656.67,0.8761664,P,14866.08,0.99999994,P,18409.13,0.7138695,P,17527.31,0.77423865,P,17472.84,0.7542764,P,16754.29,,pyrE,orotate phosphoribosyltransferase,GO:0005737(cytoplasm)|GO:0006221(pyrimidine nucleotide biosynthetic process),chr:3813279-3813220,948157,b3642
A_07_P051007,0.99999994,P,4870.408,0.98323464,P,3710.72,1,P,4246.356,0.88897073,P,2707.448,1,P,2031.481,1.2233746,P,3314.632,1.0106946,P,3863.863,1.1805683,P,4442.217,,ycbL,hypothetical protein,,,958903,Z1274
A_07_P054996,1,P,4788.208,1.159341,P,4301.499,1,P,3210.027,1.3651383,P,3142.98,1,P,1845.338,1.2353802,P,3040.463,0.9549146,P,3740.356,1.0450854,P,4029.09,,ECs2588,flagellar protein,,,912570,ECs2588
A_07_P009544,1,P,18084.96,1.2308338,P,17248.55,1,P,12574.76,1.5258695,P,13761.74,1,P,8106.088,1.3553282,P,14652.74,0.9993571,P,15499.47,1.0006429,P,15275.03,,yddW,predicted liprotein,,chr:1566040-1565981,945975,b1491
A_07_P054991,0.99999994,P,6502.445,1.0497066,P,5289.081,1,P,4907.095,1.1241857,P,3956.569,1,P,2284.303,1.0549408,P,3213.993,0.7650279,P,3671.569,0.994762,P,4698.946,,ECs2547,hypothetical protein,,,914875,ECs2547
A_07_P051001,1,P,2596.236,0.8527332,P,1715.509,1,P,1807.666,0.8376523,P,1086.021,1,P,472.5761,1.3128369,P,827.4574,0.92539084,P,1311.651,0.9497136,P,1324.929,,mukF,condesin subunit F,,,958891,Z1269
A_07_P005186,1,P,3776.858,1.1366313,P,3326.487,1,P,2927.247,1.0731151,P,2253.004,1,P,1512.699,1.2115401,P,2444.294,1.2813506,P,4069.824,1.3042299,P,4077.262,,rlmL,predicted methyltransferase,,chr:1008896-1008955,945564,b0948
A_07_P005181,1,P,5378.257,1.1215903,P,4674.244,1,P,4269.487,1.0719377,P,3282.475,1,P,2059.418,1.473906,P,4048.344,1.2510215,P,5683.406,1.098616,P,4912.433,,ycbX,predicted 2Fe-2S cluster-containing protein,GO:0009055(electron carrier activity),chr:1005914-1005855,945563,b0947
A_07_P005180,0.99999994,P,5672.573,1.3484211,P,5927.087,1,P,3492.711,1.8442036,P,4619.849,0.99999994,P,2942.76,1.3604168,P,5339.369,1.1668391,P,6634.005,0.9770629,P,5467.568,,ycbW,predicted protein,,chr:1005361-1005420,945552,b0946
A_07_P031424,0.99999994,P,57.8241,0.7896509,P,35.38178,1,A,31.81948,1.5227225,P,34.75122,1,A,11.76498,2.6877077,A,42.17318,0.9569554,A,31.85231,0.5063405,A,16.58818,,,,,,,c_2394
A_07_P031420,1,P,32.29851,0.7836177,A,19.61202,1,P,58.85181,0.39587235,A,16.7098,1,A,17.14771,1.6506541,A,37.75073,0.30550763,A,7.250162,0.67640483,A,15.79935,,,,,,,c_2393
A_07_P011845,1,P,17969.68,0.9010065,P,12545.96,1,P,13860.86,0.8660277,P,8609.506,1,P,6882.121,0.7925369,P,7274.53,1.0444524,P,13120.02,0.9662208,P,11946.18,,yqgC,predicted protein,,chr:3084264-3084323,945052,b2940
A_07_P017148,1,P,20203.86,0.8635876,P,13519.99,1,P,15408.66,0.7682398,P,8490.2,1,P,9021.937,0.83327883,P,10026.59,0.6878585,P,9376.355,0.6904314,P,9263.228,,slmA,division inhibitor,GO:0006350(transcription)|GO:0016563(transcription activator activity)|GO:0016564(transcription repressor activity),chr:3812715-3812774,948158,b3641
A_07_P009536,1,P,12296.24,1.2094253,P,11523.57,1,P,10604.49,1.1490079,P,8739.147,1,P,5172.815,1.2702643,P,8763.633,0.8655144,P,9227.932,1.0221359,P,10726.19,,yddV,predicted diguanylate cyclase,,chr:1563841-1563782,945835,b1490
A_07_P054987,1,P,5742.242,1.3045074,P,5804.485,1,P,4282.346,1.5346546,P,4713.556,1,P,2734.215,1.3374792,P,4877.338,1.1722909,P,6779.643,1.0151621,P,5778.481,,ECs2530,hypothetical protein,,,912870,ECs2530
A_07_P062596,1,P,1895.914,1.0200831,P,1498.614,1,P,919.5363,0.75868475,P,500.3645,1,P,364.0646,1.3802007,P,670.1682,0.35666117,P,283.5317,0.6422169,P,502.498,,,,,,,ECs1321
A_07_P009534,1,P,13255.85,1.2042403,P,12369.62,1,P,11335.42,1.1524755,P,9369.697,1,P,6198.457,1.3824486,P,11428.67,1.0321712,P,12892.4,1.0374285,P,12754.02,,dos,"cAMP phosphodiesterase, heme-regulated",,chr:1561477-1561418,945815,b1489
A_07_P062594,1,P,4422.644,0.90038365,P,3085.64,1,P,2257.381,0.7933735,P,1284.514,0.99999994,P,787.0988,1.0171126,P,1067.73,0.27493757,P,446.9408,0.642594,P,1028.157,,ECs1320,hypothetical protein,,,912706,ECs1320
A_07_P054984,1,P,6781.477,1.0667217,P,5605.457,1,P,4541.163,1.2278442,P,3999.14,1,P,2343.816,1.2111288,P,3785.968,1.0164961,P,5306.663,0.90536344,P,4652.063,,ECs2526,hypothetical protein,,,916568,ECs2526
A_07_P017141,1,P,22443.35,0.86108404,P,14975.07,1,P,17624.95,0.7336288,P,9273.859,1,P,9873.077,0.88311607,P,11628.76,0.7125686,P,11018.7,0.6238245,P,9494.518,,dut,deoxyuridinetriphosphatase,"GO:0015949(nucleobase, nucleoside and nucleotide interconversion)",chr:3812308-3812367,948607,b3640
A_07_P054980,1,P,13281.4,1.0201458,P,10498.85,1,P,11291.12,0.948269,P,7679.357,0.99999994,P,4502.878,1.1706647,P,7030.493,0.87353736,P,8910.174,1.0860714,P,10903.6,,ECs2521,para-aminobenzoate synthase component I,,,914166,ECs2521
A_07_P005175,1,P,6646.106,1.1529957,P,5937.869,1,P,5385.923,1.1891196,P,4593.481,1,P,2907.421,1.5537825,P,6025.058,1.4354091,P,8700.743,1.1024303,P,6577.164,,pyrD,"dihydro-orotate oxidase, FMN-linked",GO:0005737(cytoplasm)|GO:0006221(pyrimidine nucleotide biosynthetic process),chr:1004923-1004982,945556,b0945
A_07_P011837,1,P,5891.223,0.9064495,P,4137.945,1,P,3609.659,1.1911291,P,3083.765,1,P,2098.115,0.8355637,P,2338.148,0.9297439,P,3514.842,0.9667481,P,3597.184,,speA,"biosynthetic arginine decarboxylase, PLP-binding",GO:0006596(polyamine biosynthetic process)|GO:0042597(periplasmic space),chr:3082055-3081996,947432,b2938
A_07_P011831,1,P,16819.9,0.8243419,P,10744.01,1,P,14100.93,0.79127467,P,8002.603,1,P,6577.002,0.88445973,P,7758.346,0.77846974,P,8485.165,0.9343835,P,10024.22,,speB,agmatinase,GO:0006596(polyamine biosynthetic process),chr:3081185-3081126,947715,b2937
A_07_P017136,1,P,25587.02,0.8917127,P,17679.92,1,P,22254.9,0.7363123,P,11752.87,1,P,13589.53,0.81364274,P,14746.92,0.6998438,P,12878.17,0.7392569,P,13389.22,,dfp,"fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding",GO:0005737(cytoplasm)|GO:0006261(DNA-dependent DNA replication)|GO:0015937(coenzyme A biosynthetic process),chr:3811747-3811806,949047,b3639
A_07_P009526,1,P,8904.536,1.2978524,P,8955.137,1,P,6430.293,1.5413351,P,7108.6,0.99999994,P,3430.316,1.1616943,P,5314.827,0.98424584,P,7188.866,1.0256755,P,7373.5,,ddpX,"D-ala-D-ala dipeptidase, Zn-dependent",GO:0006970(response to osmotic stress)|GO:0042597(periplasmic space),chr:1561017-1560958,945532,b1488
A_07_P062586,1,P,1605.448,0.9868316,P,1227.651,1,P,805.5992,0.8401211,P,485.4194,1,P,303.9831,1.7567829,P,712.247,0.34852156,P,253.9709,0.56125736,P,402.5531,,ECs1319,hypothetical protein,,,913342,ECs1319
A_07_P017134,0.99999994,P,14991.04,0.7992095,P,9283.849,0.99999994,P,11850.87,0.70935166,P,6029.317,0.99999994,P,6134.979,0.9659074,P,7903.359,0.62799644,P,6324.544,0.74619526,P,7396.587,,yicR,"protein associated with replication fork, possible DNA repair protein",GO:0005737(cytoplasm)|GO:0006261(DNA-dependent DNA replication)|GO:0006281(DNA repair),chr:3810020-3809961,948968,b3638
A_07_P009522,1,P,9852.704,1.1751219,P,8971.685,1,P,6849.743,1.4164114,P,6958.57,1,P,4162.845,1.4043878,P,7797.232,0.8482419,P,6559.083,0.99772644,P,7593.495,,ddpA,D-ala-D-a la transporter subunit,GO:0042597(periplasmic space),chr:1559030-1558971,946052,b1487
A_07_P062582,1,P,1582.425,0.9715682,P,1191.33,1,P,644.6602,1.1862172,P,548.4681,1,P,281.4426,1.3200139,P,495.4861,0.37633267,P,249.4048,0.6106422,P,398.3149,,ECs1317,putative outer membrane protein,,,913035,ECs1317
A_07_P054972,1,P,13539.74,1.0443224,P,10956.72,1,P,10644.58,1.0503082,P,8018.656,1,P,4881.634,1.0784404,P,7021.412,0.7628115,P,7664.748,0.93422276,P,9239.275,,ECs2509,putative tartrate dehydrogenase,,,914239,ECs2509
A_07_P005167,1,P,13001.6,1.0197022,P,10273.2,1,P,9564.087,1.1866069,P,8139.667,1,P,4622.742,0.9692805,P,5976.023,0.8222312,P,7664.873,0.99132484,P,9095.653,,ycbF,predicted periplasmic pilini chaperone,GO:0006457(protein folding),chr:1003712-1003771,945559,b0944
A_07_P031409,0.99999994,P,13655.64,1.2169509,P,12877.18,1,P,10482.58,1.477637,P,11109.44,1,P,6092.964,1.0235548,P,8317.691,0.9930344,P,11186.59,0.85111374,P,9436.867,,yodA,hypothetical protein,,,1037244,c_2391
A_07_P005162,1,P,19268.13,1.1224666,P,16759.02,1,P,15560.61,1.1165926,P,12461.71,1,P,8018.897,1.184502,P,12668.16,0.95227087,P,14795.02,1.0153306,P,15526.35,,ycbV,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:1003048-1003107,945562,b0943
A_07_P005160,1,P,26154.38,1.1022313,P,22338.44,1,P,20104.98,1.367874,P,19724.5,1,P,12469.51,1.3934288,P,23173.8,0.87789005,P,19162.56,0.99581915,P,21394.43,,ycbU,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:1002278-1002337,945561,b0942
A_07_P031403,0.99999994,P,30184.67,0.9953064,P,23279.78,1,P,25057.45,1.0102185,P,18155.51,1,P,11697.71,1.0350344,P,16148,0.8135325,P,18460.68,0.95580256,P,21347.54,,yedZ,putative sulfite oxidase subunit YedZ,,,1037234,c_2390
A_07_P011829,1,P,17392.22,0.86285585,P,11628.64,1,P,13596.88,0.8655562,P,8440.939,1,P,6986.845,0.8658775,P,8068.646,0.76447475,P,8784.178,0.864209,P,9773.803,,yggG,predicted peptidase,,chr:3080177-3080236,945173,b2936
A_07_P011821,1,P,9291.26,0.9137557,P,6578.704,1,P,7431.991,0.88513905,P,4718.163,1,P,3455.071,0.91451424,P,4214.156,1.0602217,P,6850.481,0.68405616,P,4350.338,,tktA,"transketolase 1, thiamin-binding","GO:0009052(pentose-phosphate shunt, non-oxidative branch)|GO:0015949(nucleobase, nucleoside and nucleotide interconversion)|GO:0016052(carbohydrate catabolic process)",chr:3077725-3077666,947420,b2935
A_07_P017127,1,P,14607.91,0.8314735,P,9411.788,1,P,11163.3,0.716779,P,5738.972,1,P,5567.257,0.74645746,P,5542.548,0.7926069,P,6777.558,0.83297455,P,7010.58,,rpmB,50S ribosomal subunit protein L28,GO:0003735(structural constituent of ribosome)|GO:0005737(cytoplasm)|GO:0006412(translation),chr:3809540-3809481,946941,b3637
A_07_P062578,1,P,5477.422,1.2050712,P,5114.752,0.99999994,P,2674.186,1.225001,P,2349.548,1,P,1332.884,1.1546786,P,2052.658,0.29612526,P,813.5211,0.56682616,P,1532.675,,ECs1316,putative diacylglycerol kinase,,,912686,ECs1316
A_07_P009517,1,P,16472.56,1.1276104,P,14393.15,1,P,13809.19,1.0066999,P,9970.674,1,P,6082.237,1.2057937,P,9781.365,0.82603914,P,11083.94,0.98820275,P,13051.08,,ddpB,D-ala-D-ala transporter subunit,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:1558019-1557960,946044,b1486
A_07_P011820,1,P,22757.34,0.8730008,P,15394.72,1,P,18721.78,0.9137805,P,12270.02,1,P,10344.98,0.7612969,P,10503.81,0.8516279,P,13594.16,0.9263436,P,14553.97,,cmtB,predicted mannitol-specific enzyme IIA component of PTS,GO:0016052(carbohydrate catabolic process),chr:3077028-3076969,945125,b2934
A_07_P054968,1,P,4947.994,1.1634109,P,4460.648,1,P,3982.291,1.2301571,P,3513.58,1,P,1791.21,0.9079425,P,2169.042,1.0334091,P,4185.828,1.1216977,P,4471.897,,ECs2503,hypothetical protein,,,913888,ECs2503
A_07_P009514,1,P,5949.878,1.1956294,P,5512.394,1,P,4829.517,1.0304899,P,3569.47,1,P,2426.98,1.2524117,P,4053.932,1.1377943,P,5860.691,1.0905342,P,5528.804,,ddpC,D-ala-D-ala transporter subunit,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:1557821-1557762,946028,b1485
A_07_P017122,0.99999994,P,6303.639,0.94726986,P,4627.013,1,P,2859.787,1.3798015,P,2830.131,1,P,2204.927,0.7592196,P,2232.671,1.0606419,P,4234.319,0.8484187,P,3333.741,,rpmG,50S ribosomal subunit protein L33,GO:0003735(structural constituent of ribosome)|GO:0005737(cytoplasm)|GO:0006412(translation),chr:3809336-3809277,946318,b3636
A_07_P062573,1,P,5155.686,0.9642108,P,3852.069,1,P,2934.407,0.82493055,P,1736.177,1,P,1111.236,1.33281,P,1975.321,0.3581523,P,919.9593,0.5936266,P,1500.794,,ECs1315,hypothetical protein,,,912370,ECs1315
A_07_P054961,0.99999994,P,5280.801,1.1307284,P,4626.939,1,P,4133.854,1.0301625,P,3054.338,1,P,1938.697,1.2806948,P,3311.454,1.0245355,P,4319.055,1.0068429,P,4177.633,,ECs2500,putative amino acid/amine transport protein,,,913931,ECs2500
A_07_P042997,1,P,3177.842,0.47912103,P,1179.813,0.99999994,P,2217.104,0.94023484,P,1495.129,1,P,999.8531,1.6445056,P,2192.98,0.25753894,P,503.6093,0.6431627,P,1237.88,,Z3933,unknown protein encoded by prophage CP-933Y,,,958070,Z3933
A_07_P005153,1,P,14756.83,1.0238855,P,11707.93,1,P,13843.45,0.8961508,P,8897.781,1,P,5384.158,1.280311,P,9193.829,0.8628416,P,9965.735,1.0053407,P,11428.74,,ycbT,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:1001964-1002023,947185,b0941
A_07_P042992,1,P,1273.619,0.6213967,P,613.2593,1,P,1210.412,0.58320785,P,506.3057,0.99999994,P,339.5777,1.9133315,P,866.5477,0.46285394,P,316.4229,0.98480034,P,662.642,,Z3932,putative antiterminator of prophage CP-933Y,,,958069,Z3932
A_07_P048291,1,P,306.0041,0.59880245,P,141.9863,1,P,164.4049,0.31211087,P,36.80272,1,P,107.7662,0.4884839,P,70.20951,0.13314016,A,15.79892,0.06352257,A,7.419134,,Z2361,putative capsid assembly protein of prophage CP-933R,,,961099,Z2361
A_07_P048290,1,P,699.0636,0.700146,P,379.2634,0.99999994,P,411.8666,0.4821775,P,142.436,1,P,371.6503,0.32890618,P,163.0308,0.08972693,A,26.9056,0.15540135,P,45.86501,,Z2360,putative capsid protein of prophage CP-933R,,,961096,Z2360
A_07_P017118,1,P,15091.4,0.8801506,P,10292.53,1,P,11530.31,0.8040561,P,6649.417,1,P,6976.323,0.6430069,P,5982.812,0.70379984,P,6761.461,0.69195646,P,6543.001,,mutM,formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase,GO:0005737(cytoplasm)|GO:0006281(DNA repair),chr:3808524-3808465,946765,b3635
A_07_P011811,1,P,18798.43,0.879096,P,12805.41,1,P,15454.23,0.92430645,P,10245.18,1,P,8104.09,0.6574212,P,7105.768,0.81255156,P,10810.52,0.9130945,P,11956.89,,cmtA,predicted fused mannitol-specific PTS enzymes: IIB component/IIC component,GO:0016052(carbohydrate catabolic process),chr:3075613-3075554,945256,b2933
A_07_P062567,1,P,1667.635,1.2192997,P,1575.604,1,P,753.0222,1.2896038,P,696.4988,0.99999994,P,327.764,1.3426727,P,586.9411,0.43737063,P,341.0719,0.64254165,P,493.1789,,ECs1314,hypothetical protein,,,913039,ECs1314
A_07_P009506,1,P,3463.182,1.2733514,P,3417.112,1,P,2669.177,1.1986743,P,2294.747,0.99999994,P,1338.019,1.1444143,P,2042.249,0.9416446,P,2581.983,1.1067015,P,2986.783,,ddpD,D-ala-D-ala transporter subunit,GO:0005737(cytoplasm),chr:1556713-1556654,946002,b1484
A_07_P054957,1,P,6963.3594,1.1017838,P,5944.9854,1,P,5767.3594,1.1901405,P,4923.0186,1,P,2758.6323,1.3084642,P,4814.141,1.0477633,P,6407.5913,1.0461243,P,6296.8267,,ECs2497,hypothetical protein,,,912755,ECs2497
A_07_P017113,1,P,20079.31,0.8638919,P,13441.38,1,P,17231.28,0.6778191,P,8376.982,1,P,8997.17,0.7924146,P,9508.708,0.7257163,P,9602.099,0.7874596,P,10254.97,,coaD,pantetheine-phosphate adenylyltransferase,"GO:0042280(cell surface antigen activity, host-interacting)",chr:3808188-3808247,947386,b3634
A_07_P062563,1,P,5120.033,0.90852183,P,3604.49,1,P,2818.372,0.6914156,P,1397.635,1,P,795.9455,1.2336055,P,1309.552,0.34471476,P,645.2784,0.7180222,P,1322.915,,ECs1313,hypothetical protein,,,914324,ECs1313
A_07_P009501,1,P,8831.864,1.1935701,P,8168.381,1,P,6383.408,1.3271884,P,6076.331,1,P,3681.522,1.144669,P,5620.442,0.930373,P,6838.081,1.1136422,P,8056.189,,ddpF,D-ala-D-ala transporter subunit,GO:0005737(cytoplasm),chr:1555981-1555922,946020,b1483
A_07_P054951,1,P,6489.822,1.0768498,P,5415.313,1,P,5186.51,1.2183901,P,4532.291,1,P,2651.199,1.1883587,P,4201.97,0.9877521,P,5037.145,1.0000978,P,5019.793,,ECs2495,hypothetical protein,,,912760,ECs2495
A_07_P050599,1,P,1721.097,0.38660055,P,515.5888,1,P,2379.452,0.29007405,P,495.042,0.99999994,P,1027.853,0.29212105,P,400.458,0.10527074,P,65.14088,0.28437746,P,173.2,,Z1895,putative tail component of prophage CP-933X,,,959851,Z1895
A_07_P005146,1,P,24421.41,1.0736105,P,20316.7,1,P,17692.03,1.3278869,P,16849.81,1,P,10182.55,1.1530328,P,15658.9,0.8374478,P,16126.43,1.0155457,P,19248.05,,ycbS,predicted outer membrane usher protein,GO:0009274(peptidoglycan-based cell wall)|GO:0009279(cell outer membrane),chr:1000980-1001039,946934,b0940
A_07_P005145,1,P,6497.429,1.2461183,P,6273.884,1,P,5305.722,1.3788956,P,5247.255,1,P,2948.458,1.3509774,P,5312.588,1.0265993,P,5818.118,0.9734006,P,5429.753,,ycbR,predicted periplasmic pilin chaperone,GO:0006457(protein folding),chr:998305-998364,946773,b0939
A_07_P042986,1,P,836.1566,0.70476884,P,456.6358,1,P,437.6182,1.4380974,P,451.3775,1,P,234.9957,1.2149351,P,380.7817,0.4423867,P,195.8817,0.5243272,P,228.5078,,Z3931,unknown protein encoded by prophage CP-933Y,,,958068,Z3931
A_07_P050594,1,P,936.3165,0.4489114,P,325.7009,1,P,1176.787,0.4177022,P,352.5501,0.99999994,P,718.469,0.28410664,P,272.2404,0.122175545,P,52.73616,0.24262486,P,103.0781,,Z1894,putative tail component of prophage CP-933X,,,959850,Z1894
A_07_P042984,0.99999994,P,733.7149,0.66652596,P,378.9484,1,P,516.177,1.2679816,P,469.4268,1,P,211.4751,1.3723196,P,387.0594,0.63902277,P,334.7767,1.418176,P,731.2668,,Z3927,unknown protein encoded by prophage CP-933Y,,,958212,Z3927
A_07_P011806,1,P,9390.363,0.83922225,P,6106.537,1,P,6627.642,0.98418915,P,4678.363,1,P,4346.534,0.91997045,P,5333.105,1.0171359,P,6743.159,0.94442147,P,6162.503,,yggP,predicted dehydrogenase,,chr:3075253-3075193,2847686,b2932
A_07_P011801,1,P,26025.03,0.9174773,P,18502.15,1,P,25042.96,0.90488636,P,16253.09,1,P,17902.07,0.74254334,P,17729.16,0.8248723,P,17373.4,0.9422077,P,19532.22,,,,,chr:3074603-3074544,,b2931
A_07_P017107,1,P,8014.874,0.84069186,P,5221.186,1,P,5553.679,0.8547902,P,3404.839,1,P,3623.078,0.74735034,P,3611.312,0.78331363,P,3980.901,0.8082701,P,4043.049,,waaA,3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase),"GO:0009244(lipopolysaccharide core region biosynthetic process)|GO:0009245(lipid A biosynthetic process)|GO:0009248(K antigen biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0042280(cell surface antigen activity, host-interacting)",chr:3807149-3807208,949048,b3633
A_07_P062558,1,P,2639.767,1.1651319,P,2383.287,1,P,1347.13,1.059736,P,1023.914,1,P,664.9739,1.652621,P,1465.686,0.30395383,P,414.5888,0.586683,P,787.6264,,ECs1312,putative complement resistance protein precursor,,,912825,ECs1312
A_07_P054948,1,P,1117.167,0.6642414,P,575.0157,1,P,496.8305,1.2669573,P,451.4675,1,P,396.4018,0.7524494,P,397.8103,0.80685514,P,451.6496,0.9447947,P,520.5355,,ECs2489,hypothetical protein,,,915156,ECs2489
A_07_P011800,0.99999994,P,22128.74,0.8825172,P,15132.67,0.99999994,P,18278.95,0.84342927,P,11057.48,1,P,11206.57,0.9000216,P,13452.06,0.8640666,P,14477.29,0.99578947,P,16421.56,,yggF,predicted hexoseP phosphatase,,chr:3073882-3073823,947410,b2930
A_07_P017105,1,P,27329.04,0.7792029,P,16501.01,1,P,29668.92,0.704282,P,14986.65,1,P,15607.19,0.5905778,P,12293.2,0.60947746,P,11489.66,0.70542645,P,13089.05,,rfaQ,lipopolysaccharide core biosynthesis protein,"GO:0009244(lipopolysaccharide core region biosynthetic process)|GO:0019866(organelle inner membrane)|GO:0042280(cell surface antigen activity, host-interacting)",chr:3805481-3805422,948155,b3632
A_07_P062555,1,P,10234.48,0.86449194,P,6855.867,1,P,3593.636,0.89762574,P,2313.586,1,P,2432.302,1.2015642,P,3897.872,4.245599,P,21163,0.75846404,P,3721.175,,ECs1311,putative transposase,,,912418,ECs1311
A_07_P054944,0.99999994,P,7134.842,1.1929718,P,6595.5376,0.99999994,P,5605,1.2741605,P,5122.194,0.99999994,P,2774.7898,1.3093084,P,4845.462,1.0363697,P,6110.738,0.9636304,P,5592.3745,,ECs2481,putative kinase,,,914258,ECs2481
A_07_P005137,1,P,12616.03,1.1599821,P,11339.91,1,P,11158.84,1.1798223,P,9442.606,0.99999994,P,4872.76,1.1889279,P,7726.693,0.8513794,P,8674.798,0.9206882,P,9233.272,,ycbQ,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:997496-997555,948306,b0938
